task_id	episode_idx	outcome	media	bytes	sha256	original_source_sha256	faststart	lossless_container_remux	full_decode_passed	duration_seconds
BDRSIDE_008	4	success	assets/bowl_drainer_sections/videos/BDRSIDE_008/BDRSIDE_008_ep004_ok.mp4	189916	3a2e3e3ade4374f9df523b7b3a5daeff1557d86531901d1bef801238bb75cb5d	ff9fc56a04391eecd39519c9558a07a0fd75634ee0c749a23142b8ee89f41061	True	True	True	6.4
BDRSIDE_009	0	success	assets/bowl_drainer_sections/videos/BDRSIDE_009/BDRSIDE_009_ep000_ok.mp4	157195	9e681a5296ea91ba73bd3738fafcb700d96df7ed3a8ba553d3e41834e71ffbea	e96fdf32db8ce8e5ed47990067866550af72bb74960f90676cee678e535cf478	True	True	True	4.4
BDRSIDE_009	1	success	assets/bowl_drainer_sections/videos/BDRSIDE_009/BDRSIDE_009_ep001_ok.mp4	143900	c924ce4a7a024c372d66015d9501836efd6c4ed24983d554ccc519a4ce41360a	3450ee4a0ba8aebbcbf5b144e0f17400556cbd7cbb7990bbe1bd21c4dae4e6c4	True	True	True	4.0
BDRSIDE_009	2	success	assets/bowl_drainer_sections/videos/BDRSIDE_009/BDRSIDE_009_ep002_ok.mp4	153625	687d553021eb5fefdacaead30d68a6c2b052f2af5843d5bf3949994a018c5ce4	d35d43a085bd984837ee3632244950a4ebea80ef28afecafe6eccea30fa35714	True	True	True	4.4
BDRSIDE_009	3	success	assets/bowl_drainer_sections/videos/BDRSIDE_009/BDRSIDE_009_ep003_ok.mp4	148951	6bd4e7ca5d5d02ec90c225081e1feb48f598d0144a558189e3a172af453fc00e	4ae3bdcca0a18b8c13c20ee439744bc5601bb48082343bd9478669eecc5966dc	True	True	True	4.2
BDRSIDE_009	4	success	assets/bowl_drainer_sections/videos/BDRSIDE_009/BDRSIDE_009_ep004_ok.mp4	152066	0826fe422f6a7798ddf41160fdcb7edd155cd696c2861aaf4e332fb5df5b736d	9e17fbc93db8f43e1aff3458be1fed2f325159ef79d55ab04d66ccb400169fe0	True	True	True	4.2
BDRSIDE_010	0	success	assets/bowl_drainer_sections/videos/BDRSIDE_010/BDRSIDE_010_ep000_ok.mp4	152622	78447171ab85ab48f5d4cd37c99923331164d2a59c8ea8088674cd239f1076f8	8543b2c39743465d0b50e3f559c4666c7965d910cdfe1abc23d3626722fa6eec	True	True	True	4.2
BDRSIDE_010	1	success	assets/bowl_drainer_sections/videos/BDRSIDE_010/BDRSIDE_010_ep001_ok.mp4	160182	e4e60a405ff63c897493a98a6d232989e81832118f91a9f320e2323b87baac8e	5f780dd7f1953a8e26eca95f0ccb78ba7b1df5075747f5dc4173d543bcaa4ce4	True	True	True	4.4
BDRSIDE_010	2	success	assets/bowl_drainer_sections/videos/BDRSIDE_010/BDRSIDE_010_ep002_ok.mp4	159048	170a7204f4deceb80bfe2448aadc4c637cd96c9eb111defa143d68a1376425de	fedff01fdb17cbbda82ec6f5005ed96cd6ca755480e3e1b6e81f3f75f6aa356b	True	True	True	4.4
BDRSIDE_010	3	success	assets/bowl_drainer_sections/videos/BDRSIDE_010/BDRSIDE_010_ep003_ok.mp4	170027	c73cb46ebe3f8bc021703a2964c42ccfd430a8681e1b311ff3c4f5e4fe3156d9	d915f6d05187a798574ca7b8e31550fd46d8e2bfe2ca66dd7ef2ef5d4374a597	True	True	True	4.6
BDRSIDE_010	4	success	assets/bowl_drainer_sections/videos/BDRSIDE_010/BDRSIDE_010_ep004_ok.mp4	154308	79e5edf9d33f7334eaaf6a5cd328fdd1d2e78e1de8d2fc24001dc2938d4e0d62	1d731d541ced034f50f6b2ce1965a41a0222ff91fa2aa4d91e43244e5894ecc9	True	True	True	4.2
